Game:      Bets:
         C1:   C2:   C3:
  1     $ 20  $ 52  $ 65
  2     $ 81  $ 83  $ 24
  3     $ 13  $  7  $ 37
  4     $ 57  $  4  $ 61
  5     $ 45  $ 45  $ 35
  6     $  4  $ 52  $ 22
  7     $ 50  $ 15  $ 32
  8     $ 79  $ 99  $ 88
  9     $ 90  $ 68  $ 36
 10     $ 54  $  8  $ 10
 11     $ 36  $ 41  $ 78
 12     $ 98  $ 39  $ 46
 13     $ 51  $ 46  $ 45
 14     $ 85  $ 87  $ 36
 15     $ 97  $ 10  $ 10
 16     $ 91  $ 87  $ 32
 17     $ 67  $ 66  $ 13
 18     $ 11  $ 60  $ 33
 19     $ 64  $ 28  $ 87
 20     $ 64  $ 79  $ 72
 21     $ 65  $ 26  $ 26
 22     $ 16  $100  $ 51
 23     $ 75  $ 40  $ 11
 24     $ 19  $ 48  $ 97
 25     $ 57  $  4  $ 68
 26     $ 64  $ 45  $ 13
 27     $ 93  $ 79  $  9
 28     $  1  $ 67  $ 79
 29     $ 36  $ 61  $ 74
 30     $ 46  $ 15  $ 28
 31     $ 93  $ 30  $  8
 32     $ 41  $ 57  $ 62
 33     $ 72  $ 29  $ 13
 34     $  2  $ 80  $  6
 35     $  5  $ 50  $  3
 36     $ 23  $ 53  $ 29
 37     $ 50  $ 85  $ 57
 38     $ 42  $ 94  $ 27
 39     $ 84  $ 78  $ 17
 40     $ 39  $ 50  $ 58
 41     $ 46  $ 67  $ 73
 42     $ 34  $ 76  $ 80
 43     $ 63  $100  $ 79
 44     $ 38  $ 35  $ 76
 45     $ 89  $ 37  $ 66
 46     $ 50  $ 98  $ 30
 47     $ 41  $ 20  $ 90
 48     $ 83  $ 29  $  9
 49     $ 39  $ 15  $ 19
 50     $ 91  $  3  $ 35
 51     $ 18  $ 19  $ 22
 52     $ 63  $ 73  $ 98
 53     $ 97  $ 82  $ 25
 54     $ 44  $ 64  $ 94
 55     $ 11  $ 88  $ 72
 56     $ 16  $ 32  $ 29
 57     $ 57  $ 36  $ 97
 58     $ 23  $ 52  $ 73
 59     $ 50  $  9  $ 29
 60     $ 56  $ 68  $ 73
 61     $  2  $ 19  $ 29
 62     $  3  $ 97  $ 89
 63     $  7  $ 65  $ 99
 64     $ 43  $ 29  $ 60
 65     $ 57  $ 77  $ 75
 66     $ 47  $ 71  $ 22
 67     $ 91  $ 66  $ 41
 68     $ 33  $ 17  $ 43
 69     $ 74  $ 50  $ 76
 70     $ 73  $  8  $  3
 71     $100  $ 13  $ 93
 72     $ 38  $ 60  $ 93
 73     $ 63  $ 71  $ 61
 74     $ 14  $ 26  $ 35
 75     $ 78  $  8  $  2
 76     $ 15  $ 19  $ 26
 77     $ 30  $ 95  $  6
 78     $ 27  $ 95  $ 16
 79     $ 30  $ 37  $  2
 80     $ 20  $ 95  $ 33
 81     $ 14  $ 61  $ 18
 82     $ 93  $ 31  $ 76
 83     $  7  $ 22  $  8
 84     $ 53  $ 11  $ 70
 85     $ 81  $ 82  $ 79
 86     $ 15  $  6  $ 54
 87     $ 10  $ 46  $ 94
 88     $ 85  $ 16  $ 92
 89     $ 26  $ 52  $ 29
 90     $ 33  $ 73  $ 15
 91     $ 33  $ 20  $ 76
 92     $ 76  $ 13  $ 45
 93     $ 55  $ 70  $ 76
 94     $100  $  8  $ 67
 95     $ 90  $ 31  $  9
 96     $ 28  $ 72  $ 55
 97     $ 53  $ 95  $ 64
 98     $  9  $ 76  $ 77
 99     $ 78  $ 66  $ 57
100     $  8  $ 95  $ 86
101     $ 19  $ 39  $ 36
102     $ 38  $ 32  $ 20
103     $ 42  $  3  $ 35
104     $ 51  $ 38  $ 21
105     $ 51  $ 44  $  9
106     $ 19  $ 94  $ 76
107     $ 16  $ 86  $ 46
108     $ 44  $ 15  $ 99
109     $ 84  $ 69  $ 21
110     $ 88  $ 90  $ 65
111     $ 67  $  1  $ 62
112     $ 37  $  3  $ 28
113     $ 33  $ 80  $ 50
114     $ 65  $ 82  $ 24
115     $ 82  $ 52  $ 90
116     $ 53  $ 42  $ 29
117     $ 78  $ 60  $ 53
118     $ 82  $ 17  $ 22
119     $ 52  $ 19  $ 86
120     $ 87  $ 87  $  2
121     $ 77  $ 23  $ 97
122     $ 36  $ 48  $ 43
123     $ 70  $ 27  $ 98
124     $ 29  $ 56  $ 82
125     $ 96  $ 39  $ 39
126     $ 13  $ 93  $ 90
127     $ 30  $ 41  $ 71
128     $ 12  $ 78  $ 39
129     $ 42  $ 91  $  5
130     $  9  $ 31  $ 82
131     $ 52  $ 90  $ 49
132     $ 22  $ 12  $  8
133     $ 14  $  9  $ 29
134     $ 89  $ 13  $ 44
135     $ 81  $ 76  $ 40
136     $ 96  $ 94  $ 21
137     $ 36  $ 65  $ 70
138     $ 49  $ 47  $ 86
139     $ 66  $ 44  $ 73
140     $ 69  $ 41  $ 72
141     $ 17  $ 57  $ 62
142     $ 11  $ 56  $ 27
143     $ 19  $ 63  $  2
144     $  1  $ 69  $  5
145     $ 39  $ 75  $ 79
146     $ 81  $ 21  $ 73
147     $ 62  $ 16  $ 46
148     $ 65  $ 71  $ 58
149     $ 94  $  4  $ 69
150     $ 12  $ 31  $ 74
151     $ 80  $ 37  $ 78
152     $ 28  $ 14  $ 67
153     $ 14  $ 31  $ 46
154     $  5  $ 93  $ 58
155     $ 73  $ 27  $ 82
156     $ 34  $ 95  $ 14
157     $ 26  $ 66  $ 98
158     $ 45  $ 68  $ 29
159     $ 76  $ 58  $ 48
160     $ 17  $ 26  $ 97
161     $ 21  $ 82  $  3
162     $ 85  $ 69  $ 36
163     $ 52  $ 45  $  6
164     $100  $ 28  $ 83
165     $ 26  $  5  $ 83
166     $100  $ 58  $ 38
167     $ 88  $ 71  $ 52
168     $ 84  $ 43  $ 11
169     $ 86  $ 21  $  2
170     $ 88  $ 22  $ 35
171     $ 39  $ 82  $ 52
172     $ 36  $ 49  $ 55
173     $ 72  $ 43  $ 97
174     $  5  $ 86  $ 93
175     $ 82  $ 88  $ 39
176     $ 31  $ 11  $ 44
177     $ 84  $ 90  $ 79
178     $ 40  $ 90  $ 21
179     $ 68  $  5  $ 19
180     $ 85  $ 40  $ 53
181     $ 30  $ 56  $ 73
182     $ 30  $ 10  $ 15
183     $ 47  $ 78  $  7
184     $ 86  $ 82  $ 95
185     $ 98  $ 30  $ 10
186     $ 33  $ 91  $ 74
187     $ 71  $ 28  $ 43
188     $ 12  $  1  $ 91
189     $  8  $ 47  $ 12
190     $ 70  $  4  $ 37
191     $ 25  $ 41  $ 11
192     $ 32  $ 43  $  2
193     $ 68  $  2  $  4
194     $ 72  $ 94  $ 54
195     $ 14  $ 32  $  3
196     $  2  $ 33  $ 80
197     $ 81  $ 64  $ 11
198     $ 68  $ 91  $ 96
199     $ 73  $ 24  $ 86
200     $  5  $ 16  $ 89
201     $ 64  $ 48  $ 90
202     $ 95  $ 24  $ 90
203     $ 27  $ 15  $ 15
204     $ 79  $ 51  $ 90
205     $ 66  $  5  $ 77
206     $ 79  $ 59  $ 93
207     $ 92  $ 21  $ 96
208     $ 98  $ 70  $ 85
209     $ 68  $ 53  $  1
210     $ 23  $ 81  $ 52
211     $ 28  $ 94  $ 29
212     $ 78  $ 48  $ 17
213     $  2  $  5  $ 39
214     $ 45  $ 69  $ 55
215     $ 75  $ 36  $ 82
216     $ 43  $ 26  $ 17
217     $ 32  $ 99  $ 36
218     $ 50  $ 62  $ 52
219     $  7  $ 93  $  7
220     $ 39  $ 75  $ 31
221     $ 33  $ 36  $ 57
222     $ 38  $100  $ 70
223     $ 48  $ 37  $ 58
224     $ 92  $ 58  $ 76
225     $ 58  $ 65  $  1
226     $  2  $ 91  $ 65
227     $ 34  $ 26  $ 60
228     $ 23  $ 30  $ 33
229     $ 70  $ 21  $ 25
230     $ 53  $ 76  $ 78
231     $  7  $ 25  $ 25
232     $ 89  $ 59  $ 26
233     $ 46  $ 47  $  2
234     $ 15  $  7  $  6
235     $ 12  $ 68  $ 81
236     $ 12  $ 90  $ 44
237     $ 56  $ 37  $ 30
238     $ 75  $ 57  $ 75
239     $ 65  $ 94  $  4
240     $ 30  $ 19  $ 62
241     $  2  $ 50  $ 37
242     $ 50  $ 77  $ 41
243     $ 63  $ 62  $ 29
244     $ 47  $ 12  $ 68
245     $ 59  $ 88  $ 96
246     $ 51  $ 52  $ 11
247     $ 36  $  8  $ 77
248     $100  $ 39  $ 10
249     $ 50  $ 57  $ 34
250     $ 85  $ 36  $ 75
251     $ 76  $ 78  $ 96
252     $ 27  $  7  $ 73
253     $ 48  $ 93  $  8
254     $ 14  $ 29  $ 16
255     $ 72  $ 96  $ 89
256     $ 90  $ 18  $ 40
257     $ 23  $ 55  $ 38
258     $ 79  $ 19  $ 90
259     $ 17  $ 66  $ 11
260     $ 48  $ 37  $ 10
261     $ 63  $  3  $ 63
262     $100  $ 56  $  2
263     $ 25  $ 79  $ 73
264     $ 76  $ 69  $ 63
265     $ 50  $  5  $ 80
266     $ 71  $ 50  $ 96
267     $ 94  $ 17  $ 98
268     $ 42  $ 11  $ 76
269     $ 93  $ 95  $ 89
270     $  1  $ 96  $ 90
271     $ 25  $ 46  $ 20
272     $ 83  $  6  $ 12
273     $ 39  $ 93  $ 48
274     $ 67  $ 33  $ 45
275     $ 87  $ 68  $ 14
276     $ 94  $  5  $ 55
277     $ 30  $ 40  $  4
278     $ 59  $  4  $ 44
279     $ 44  $ 25  $ 88
280     $ 79  $ 70  $ 61
281     $ 50  $ 60  $ 65
282     $ 76  $ 76  $ 85
283     $ 65  $ 21  $ 91
284     $ 22  $ 71  $ 58
285     $ 86  $ 99  $ 79
286     $ 15  $ 10  $  9
287     $ 18  $ 93  $ 69
288     $ 37  $ 62  $ 78
289     $ 49  $ 34  $ 21
290     $ 46  $ 53  $100
291     $ 62  $  5  $ 60
292     $ 28  $ 43  $ 75
293     $ 75  $ 55  $ 95
294     $ 69  $ 83  $ 84
